title,price,location,district,floor,room,bedroom,bathroom,livingroom,kitchen,parking,link
"Fully Furnished Residential Semi Bungalow On Sale At Balkumari, Lalitpur","4,50,00,000","LalitpurExactly 150 meters from Guna Cinema hall ringroad,Namaste Petrol Pump",LalitpurExactly 150 meters from Guna Cinema hall ringroad,2.5 Floors,,6 Bed Room,4 Bath Room,1 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7266
"A well presented furnished three bedroom bungalow in Gharipatan, Pokhara","2,35,00,000","Kaski, Pokhara, FishtailGharipatan Ward No",Kaski,2.5 Floors,,3 Bed Room,4 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7258
"Apartment On Sale / Rent At TECH-04, Tower, Sitapaila","80,00,000","Kathmandu, Nagarjun, TECH Tower, GB5 ground floor300 meters from sitapaila chowk , Ring road.",Kathmandu,Ground Floors,,2 Bed Room,2 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7256
"Residential House On Sale At Imadol, Lalitpur","1,50,00,000","Lalitpur, Imadol, Binayak Tole2 KM From Gwarko Chowk, Ring Road.",Lalitpur,Three Floors,,4 Bed Room,3 Bath Room,1 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7249
"सामाखुसी, (४X१/२ ) साढे ४ तल्ले व्यापारिक भवन विक्रिमा","7,00,00,000","Kathmandu, Samakhusi Chowk, Tokha Road50 Meter near from Ring Road.",Kathmandu,Four And Half Floors,,4 Bed Room,3 Bath Room,1 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7247
"House For Sale At Sundarbasti, Special Chowk , Budhanikantha","1,70,00,000","Kathmandu, Budhanilkantha, Valley Public Schol, Sunndar Basti500 meter east from Special Chowk, Budhanilkantha Main Road.",Kathmandu,Two And Half Floors,,5 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7245
"Residential Bungalow On Sale At Bafa, Kathmandu","1,35,00,000","Kathmandu, Near Civil HomesNear Rupys School",Kathmandu,Two And Half Floors,,5 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7244
"Residential Bungalow On Sale At Bafa, Kathmandu","95,00,000","Kathmandu, Near Civil Homes500 meters inside from ring road.",Kathmandu,Two And Half Floors,,5 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7243
"Residential Bungalow On Sale At Bafa, Kathmandu","1,50,00,000","Kathmandu, Near Civil HomesNear Civil Homes phase VII way to Kota devi mandir",Kathmandu,Two And Half Floors,,2 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7242
"Residential House On Sale At Imadol, Lalitpur","1,35,00,000","Lalitpur, Mahalaxmi, Kist HospitalApproximately 700 meter near from Gwarko Chowk, Ring Road.",Lalitpur,One Floors,,2 Bed Room,1 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7241
"Fully Furnished Apartment in Sunrise City Home, Anamnagar, Kathmandu ( Area :- 1176.45 sq.ft.)","1,85,00,000","Kathmandu, Bijulibazarभक्ति थापा सडक, काठमाडौँ",Kathmandu,Seventh Floors,,3 Bed Room,2 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7236
"Residential House On Sale At Imadol, Lalitpur","5,25,00,000","Lalitpur, Mahalaxmi, Basuki Tole1 KM From Gwarko Chowk, Ring Road.",Lalitpur,Five Floors,,10 Bed Room,4 Bath Room,4 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7234
"Residential Bungalow On Sale At Chandol, Kathmandu","5,25,00,000","Kathmandu, Manshree MargWest side of krishna mandir , Chappalkarakhana Road.",Kathmandu,Two And Half Floors,,4 Bed Room,5 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7229
Fully Furnished Apartment At Pani Pokhari Area: 1243 sq.ft.,"2,10,00,000","Kathmandu, Hiltake ApartmentsApartment no 404.",Kathmandu,Fourth Floors,,3 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7220
"Residential House On Sale At Attarkhel, Kathmandu","1,40,00,000","Kathmandu, Gokarneshwar, Attarkhel, ward no-8100 meter west from Nepal Medical Collage ( NMC ) Gate, Sundarijal main road.",Kathmandu,Two And Half Floors,,4 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7219
Residential Bungalow On Sale / Rent At Ekatabasti Mandikhatar,"4,60,00,000","Kathmandu, Budhanilkantha, Ekatabasti1.5 KM from SUkedhara Chowk RIng road.",Kathmandu,Two Floors,,4 Bed Room,4 Bath Room,2 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7216
"Fully Furnished Residential House On Sale At Tokha, Kathmandu","2,15,00,000","Kathmandu, Tokha, Milan Tole1.5 KM From Basundhara Chowk Ring Road.",Kathmandu,Two And Half Floors,,4 Bed Room,6 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7180
"Residential House On Sale At Tokha, Kathmandu","1,35,00,000","Kathmandu, Tokha, Satya Shahi Tole1.5 KM From Maharajgunj Chowk, Chakrapath, Ringroad.",Kathmandu,One Floors,,2 Bed Room,2 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7179
Bunglow on Sale at Thapathali,"16,00,00,000",Kathmandu100 meter near rom thapathali chowk.,Kathmandu100 meter near rom thapathali chowk.,One Floors,,2 Bed Room,2 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7176
"लुभु ,लामाटार आकर्षक नयाँ घर बिक्रीमा","1,35,00,000","Lalitpur, Mahalaxmi, Lamatar",Lalitpur,Two and Half Floors,,5 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7173
Nakhipot Bungalow for sale for 3.25 crore,"3,25,00,000","Lalitpur,  Shiva Chowk1.3 KM from Talchikhel Ring Road, 20 feet pitched road is 50 meters from this Villa with 12 feet access road. One of the prime and posh location in this area and this is corner Villa, safe place for elders to stay alone.",Lalitpur,Three Floors,,4 Bed Room,4 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7164
"Residential House On Sale At Tikathali, Lalitpur","90,00,000","Lalitpur, Mahalaxmi3 KM From Ring road.",Lalitpur,1 Floors,,3 Bed Room,2 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7160
Semi Bungalow On Sale At Dhungedhara,"2,30,00,000","Kathmandu, Nursery Chowk800 meter near from Dhungedhara Chowk, Ring Road.",Kathmandu,Two And Half Floors,,5 Bed Room,4 Bath Room,1 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7159
"Commercial Building On Sale At Bhainsepati, Lalitpur","7,00,00,000","Lalitpur, SainbuOpposite of Nepal Medicity Hospital.",Lalitpur,Four Floors,,5 Bed Room,4 Bath Room,1 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7158
Residential Bungalow On Sale At Harisiddhi,"1,40,00,000","Lalitpur2.5 KM From Satdobato Chowk, Ring Road.",Lalitpur2.5 KM From Satdobato Chowk,Two Floors,,3 Bed Room,1 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7157
Residential Bungalow On Sale At Sitapaila,"4,90,00,000","Kathmandu, ChhauniOpposite of Star housing, In Between Chhauni and Sitapaila chowk Ring road.",Kathmandu,Three Floors,,5 Bed Room,5 Bath Room,2 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7154
"नगरर्जुन ना नगरपालिका , वार्ड न ३ , गैरे टोलमा ३ आनामा भर्खर बनेको घर तुरुन्त बिक्रिमा","1,15,00,000","Kathmandu, Nagarjun, Gaire tole",Kathmandu,Three Floors,,5 Bed Room,5 Bath Room,2 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7144
Residential House On Sale At Sukedhara,"2,65,00,000",Kathmandu300 meters from sukedhara chowk ring road.,Kathmandu300 meters from sukedhara chowk ring road.,Three Floors,,7 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7143
"Residential House Sale / Rent Mulpani, Kathmandu","3,50,00,000","Kathmandu, Kageshwari Manohara, Cricket Village1 KM From Bagmati Bridge , Narayantar.",Kathmandu,Four Floors,,9 Bed Room,8 Bath Room,4 Living Room,3 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7140
Residential House On Sale At Aakashedhara Kapan,"2,50,00,000","Kathmandu, Budhanilkantha, Aakasedhara1 KM From Sukedhara Chowk, Ring Road.",Kathmandu,Two And Half Floors,,6 Bed Room,4 Bath Room,2 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7139
"Fully Furnished Residential Bungalow On Sale At Syuchatar, Kalanki","2,25,00,000","Kathmandu, Nagarjun, Amarjyoti Planning1.4 KM From Kalanki Chowk, Ring Road.",Kathmandu,To and Half Floors,,5 Bed Room,5 Bath Room,2 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7136
House On Sale At  Dhapakhel Civil Homes,"3,00,00,000","Lalitpur, Civil Homes Phase-IVHouse No 424.",Lalitpur,Two and Half Floors,,4 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7135
"Residential House On Sale At Paiyatar, Kapan","2,70,00,000","Kathmandu, Budhanilkantha, Faika2.6 KM From Sukedhara Chowk, Ring Road.",Kathmandu,Three Floors,,6 Bed Room,5 Bath Room,3 Living Room,3 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7132
"Residential House On Sale At Imadol, Lalitpur","1,85,00,000","Lalitpur, Mahalaxmi, Tikathali2 KM From Gwarko Chowk Ring Road.",Lalitpur,Two and Half Floors,,4 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7130
"Ochu Height, Imadol - Ready To Move Fully Furnished Residential House On Sale","2,70,00,000","Lalitpur, Mahalaxmi, Ochu Height1.5 KM From Gwarko Chowk, Ring Road.",Lalitpur,Two and Half Floors,,5 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7121
Residential House ON Sale / Rent At Hattigaunda,"2,90,00,000","Kathmandu, Budhanilkantha500 meters from Hattigaunda chowk, Budhanilkantha main road.",Kathmandu,Three Floors,,6 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7118
"3.5 Storey Residential Bungalow on Sale/Rent at Kumaristhan, Chabahil","3,25,00,000","Kathmandu, 60 m from ringroadopposite of Nabil Bank",Kathmandu,Three and half Floors,,8 Bed Room,6 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7115
"Residential House On Sale At Ochu Height, Imadol","1,80,00,000","Lalitpur, Mahalaxmi, Ochu Height2 KM from Gwarko Chowk Ring Road.",Lalitpur,Three Floors,,5 Bed Room,3 Bath Room,1 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7112
Semi Commercial  House On Sale At Tokha,"2,40,00,000","Kathmandu, Tokha, Saraswati Tole1.5 KM From Basundhara Chowk.",Kathmandu,Three and Half Include Basement  Floors,,4 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7096
"Residential House On Sale At Bhainsepati, Lalitpur","3,75,00,000","Lalitpur, Bhainsepati Colony800 meter from ring road ( Nakhkhu dobato).",Lalitpur,3 Floors,,6 Bed Room,6 Bath Room,3 Living Room,3 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7078
"Residential Bungalow On Sale At Green Hill City, Mulpani","2,50,00,000","Kathmandu, Kageshwari Manohara, Green Hill CityIn between Bagmati corridor and Cricket Stadium, Inside Green hill city . House No",Kathmandu,Two and Half Floors,,4 Bed Room,4 Bath Room,2 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7068
Commercial Cum Residential Building On Sale At Jorpati,"4,50,00,000","Kathmandu, Gokarneshwar, Gairigaun40 meter near from Jorpati Chowk",Kathmandu,Five and half Floors,,16 Bed Room,10 Bath Room,6 Living Room,6 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7067
"Residential House On Sale / Rent At Golphutar, Kathmandu","2,90,00,000","Kathmandu, Budhanilkantha100 meter from Golphutar chowk, Budhanilakntha main road.",Kathmandu,Three and Half Floors,,7 Bed Room,6 Bath Room,3 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7056
Residential House On Sale At Godawari,"1,40,00,000","Lalitpur, Godawari100 meter near from Godawari 3 no. ward office.",Lalitpur,Two and Half Floors,,6 Bed Room,3 Bath Room,3 Living Room,3 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7049
"Residential Bungalow On Sale At Civil Homes Phase-lll, Sunakothi, Lalitpur","5,50,00,000","Lalitpur, Godawari, Civil Homes Phase-lllHouse no. 162",Lalitpur,Three Floors,,3 Bed Room,3 Bath Room,2 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7048
Commercial Cum Residential House On Sale At Dhapasi,"5,00,00,000","Kathmandu, Tokha, Dhapasi Road500 meters from basundhara chowk ring road.",Kathmandu,Five and Half Floors,,6 Bed Room,9 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7030
Residential Bungalow On Sale At Bhainsepati,"3,10,00,000","Lalitpur, Godhuli Samaj400 meter south ( Height ) from Nepal Medicity Hospital.",Lalitpur,Two and Half Floors,,5 Bed Room,5 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7027
"House On Sale At Dillibazar, Kathmandu","2,50,00,000","Kathmandu, Kalikasthan200 meter near from New Plaza.",Kathmandu,3 Floors,,12 Bed Room,5 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7026
Residential Bungalow On Sale At Kapan,"2,80,00,000","Kathmandu, Budhanilkantha, Kapan Gumba2 KM From Sukedhara chowk, Ring road.",Kathmandu,3 Floors,,4 Bed Room,5 Bath Room,2 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7019
Commercial Building With Land On Sale At Thamel,"14,00,00,000","Kathmandu, Jyatha, Ashok GalliNear to Sunrise Bank, Jyatha Branch.",Kathmandu,3 Floors,,4 Bed Room,5 Bath Room,2 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7018
"Residential House On Sale At Babarmahal, Kathmandu","1,75,00,000","Kathmandu, भूमिसुधार कार्यालयको नजिकैBack Side of Kathmandu Dairy.",Kathmandu,Four and Half Floors,,9 Bed Room,3 Bath Room,2 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7015
"Residential House On Sale At Cozy Homes, Imadol","1,25,00,000","Lalitpur, Mahalaxmi, Cozy Homes1.5 KM from Gwarko Chowk Ring Road.",Lalitpur,2.5 Floors,,3 Bed Room,3 Bath Room,1 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6998
"House With Land On Sale At Satungal, Sipradi, Everest Bank","4,20,00,000","Kathmandu, Chandragiri150 meters from Sipradi ( Tribhuvan Highay).",Kathmandu,3 Floors,,3 Bed Room,3 Bath Room,1 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6994
"Residential House On Sale At Imadol, Lalitpur","1,85,00,000","Lalitpur, Mahalaxmi, Timalsina Chowk100 meter from Imadol Police Bid and Mahalaxmi Municipality office.",Lalitpur,2.5 Floors,,4 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6989
"Fully Furnished Residential House On Sale At Nayabasti, Jorpati","1,60,00,000","Kathmandu, Gokarneshwar, Nayabasti100 meter west from bagmati corridor ( Yellow Bridge of gothatar Road)",Kathmandu,2 Floors,,5 Bed Room,2 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6984
Residential Bungalow On Sale At Chapali,"2,75,00,000","Kathmandu, Budhanilkantha, Saandar Tole1 KM From Ganesh School",Kathmandu,2.5 Floors,,5 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6980
Residential House On Sale At Koteshwor,"4,10,00,000","Kathmandukathmandu,koteshwor",Kathmandukathmandu,2.5 Floors,,3 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6941
Commercial/Residential House With Land On Sale At Thankot,"8,00,00,000","Kathmandu, ThankotKathmandu,Chandragiri,thankot",Kathmandu,2 Floors,,3 Bed Room,5 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6925
"House On Sale At Pepsicola,Kharea Chowk","3,60,00,000",Kathmandu2KM away from Jadibuti Chowk,Kathmandu2KM away from Jadibuti Chowk,3 Floors,,8 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6910
"2.5 Story House On Sale At Mid Baneshwor,Kathmandu","4,50,00,000","KathmanduKathmandu,Mid Baneshwor",KathmanduKathmandu,2.5 Floors,,12 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6902
"Residential Semi Bungalow ON Sale At Sitapaila, Kathmandu","2,55,00,000","Kathmandu, Nagarjun, Aadeshwar Colony1.5 KM from Sitapaila Ring Road and Swayambhu.",Kathmandu,2.5 Floors,,5 Bed Room,4 Bath Room,3 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6870
Commercial Building On Sale At Jawalakhel,"25,00,00,000",LalitpurJawalakhel Chowk.,LalitpurJawalakhel Chowk.,5.5 Floors,,5 Bed Room,4 Bath Room,3 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6866
"Residential House On Sale At Shital Height, Imadol, Lalitpur","1,75,00,000","Lalitpur, Mahalaxmi, Shital200 meter from Lubhu Main road.",Lalitpur,2.5 Floors,,4 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6865
"Residential House On Sale At Shital Height, Imadol, Lalitpur","1,65,00,000","Lalitpur, Mahalaxmi, Shital Height200 meter from Lubhu main road.",Lalitpur,2.5 Floors,,4 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6864
"Commercial Cum Residential House On Sale At Nikosera, Bhaktapur","1,80,00,000","Bhaktapur, Madhyapur Thimi, Nikosera300 meter from Radhe Radhe chowk, Opposite to Ajima Petrol pump.",Bhaktapur,3 Floors,,5 Bed Room,4 Bath Room,3 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6859
Residential House On Sale At Dhungedhara Nearby Army Hospital,"3,50,00,000","Kathmandu, Nagarjun, BanasthaliErahiti,Pragati tol, 200 meter from dungedhara  ring road and sano-Bharyang  ring road.",Kathmandu,3.5 Floors,,9 Bed Room,3 Bath Room,2 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6855
Brand New House On Sale At Bansbari,"2,30,00,000","Kathmandu, Man bahadur marg2 KM From Narayangopal Chowk, Chakrapath, Maharajgunj.",Kathmandu,3 Floors,,6 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6848
"Residential House On Sale At Birendra Chowk, Kandaghari","89,00,000","Kathmandu, Kageshwari Manohara, Birendra ChowkNawadurga Tole, 200 meter from Birendra chowk.",Kathmandu,1 Floors,,2 Bed Room,1 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6843
"Residential House On Sale At Greenhill City, Lalitpur","1,15,00,000","Lalitpur, Mahalaxmi, Greenhill City",Lalitpur,1 Floors,,1 Bed Room,1 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6841
"Residential 3 Stores House On Sale At Sundar Basti, Bhangal","2,30,00,000","Kathmandu, Budhanilkantha, Sundar basti1.5 KM from special chowk and 2 KM from dhumbarahi chowk ringroad.",Kathmandu,3 Floors,,6 Bed Room,6 Bath Room,3 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6840
"Brand New Residential House On Sale At Satdobato, Nearby ANFA Complex","2,36,00,000","Lalitpur, ANFA Complex400 meter near from satdobato ring road",Lalitpur,2.5 Floors,,6 Bed Room,5 Bath Room,3 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6839
Residential Bungalow On Sale At Bansbari,"6,50,00,000","Kathmandu, Bansbari300 meter near from Narayangopal Chowk, Ring road.",Kathmandu,2.5 Floors,,4 Bed Room,4 Bath Room,2 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6834
"Residential House On Sale At TIkathali, Lalitpur","85,00,000","Lalitpur, Mahalaxmi, Tikathali road3 KM from Gwarko and Balkumari ( Ring Road ).",Lalitpur,1 Floors,,2 Bed Room,1 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6832
Residential 2.5 Stores House On Sale At Imadol,"1,65,00,000","Lalitpur, Mahalaxmi1.5 KM From gwarko",Lalitpur,2.5 Floors,,6 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6820
Residential 2.5 Stores House On Sale At Imadol,"1,35,00,000","Lalitpur, Mahalaxmi2 KM From gwarko",Lalitpur,2.5 Floors,,3 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6819
Residential 2.5 Stores House On Sale At Imadol,"1,35,00,000","Lalitpur, Mahalaxmi2 KM From gwarko",Lalitpur,2.5 Floors,,3 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6818
Residential 2.5 Stores House On Sale At Imadol,"2,30,00,000","Lalitpur, Mahalaxmi, Timalsina chowk1 KM From Gwarko Chowk Ring road.",Lalitpur,2.5 Floors,,5 Bed Room,4 Bath Room,1 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6817
6 Stores Commercial Building On Sale At Satungal,"4,55,00,000","Kathmandu, Chandragiri, APF Hospital100 meter from Tribhuvan highway",Kathmandu,6 Floors,,5 Bed Room,16 Bath Room,1 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6806
"Residential Bungalow On Sale At Civil Homes Phase - ll, Kalanki","2,60,00,000","Kathmandu, TinthanaCivil Homes Phase - II, House No.30.",Kathmandu,2.5 Floors,,5 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6804
House On Sale At Kalanki (opp. Bhatbhateni),"2,05,00,000","Kathmandu, Amritnagar",Kathmandu,2.5 Floors,,4 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6803
Commercial House On Sale At Jorpati,"1,90,00,000","Kathmandu, Jorpatikathmandu,jorpati",Kathmandu,2.5 Floors,,4 Bed Room,4 Bath Room,3 Living Room,4 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6800
"A Modern Beautiful Bungalow On Sale At Nakhu, Lalitpur","4,75,00,000","Lalitpur, Srijana tole200 meter from Nepal Medicity Hospital.",Lalitpur,2.5 Floors,,7 Bed Room,6 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6795
"Residential 4 Bungalows On Sale At Changathali, Lubhu","1,25,00,000","Lalitpur, Mahalaxmi, Changathali bus parkOn the way of Lubhu-Balkot Road.",Lalitpur,2.5 Floors,,4 Bed Room,2 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6770
"Commercial 3 Stores House With Shutter On Sale At Sanobhryang, Ringroad","1,10,00,000",Kathmandu,Kathmandu,3 Floors,,4 Bed Room,2 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6765
Residential 2.5 storey house on sale at Budhanilkantha,"2,35,00,000","Kathmandu, Bishnu Budhanilkantha, PasikotDistrict",Kathmandu,2.5 Floors,,6 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6746
"Commercial 4 Stores Building On Sale At Near New Plaza, Putalisadak","4,50,00,000","Kathmandu, New Plaza50 meter inside from new plaza ( Main Road ).",Kathmandu,4 Floors,,6 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6736
A Modern Commercial Cum Residential House On Sale At Tokha,"1,95,00,000","Kathmandu, Tokha",Kathmandu,3 Floors,,5 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6730
"Residential 2.5 storey house on sale at Bhangal,Sundar basti","2,35,00,000","Kathmandu, Budhanilkantha, Sundarbasti1 km from sukedhara",Kathmandu,2.5 Floors,,11 Bed Room,4 Bath Room,3 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6717
"Commercial Cum Residential House On Sale At Nilopul, Budhanilkantha","2,70,00,000","Kathmandu, Bishnu Budhanilkantha, Nilopul500 meter from Nilopul, Budhanilkantha Temple.",Kathmandu,2.5 Floors,,6 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6707
"3 Storey House on Sale at Kapan @ 1,75,00,000","1,75,00,000","Kathmandu, Budhanilkantha, EktabastiFront of feriland international school.",Kathmandu,3 Floors,,6 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6704
WESTAR RESIDENCY :3BHK Apartment For Sale At Balkumari,"1,80,00,000","Lalitpur, westar residensyTower 2",Lalitpur,4 Floors,,3 Bed Room,2 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6703
Commercial Building With Truss On Sale At Nayabazar,"8,00,00,000",KathmanduIn between Sohrakhutte and Balaju.,KathmanduIn between Sohrakhutte and Balaju.,4 Floors,,3 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=6700
"Residential Bungalow with Commercial Building On Sale At Harisiddhi, Sitapaila","5,50,00,000","Kathmandu, Nagarjun, HarisiddhiInside Sankata Housing, Closed to Sitapaila-Galchhi ( Dhading ) Highway",Kathmandu,4 Floors,,9 Bed Room,7 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=6698
